text,label
"Claim your lottery cash now by paying the verification fee immediately.",1
"You have been selected for a grand prize, send the release amount and collect the reward today.",1
"You won 25 lakh in lucky draw, send processing fee immediately to claim the money.",1
"Your prize of Rs. 25 lakh is confirmed, pay the processing fee now to release it.",1
"Lucky draw department says your amount is ready, send the claim fee immediately.",1
"You have won prize money, send the processing amount now for instant release.",1
"A lucky draw reward of Rs. 25 lakh is waiting, pay fee now and collect today.",1
Good morning Thatha. Ate your tiffin?,0
How are you feeling this afternoon Amma?,0
Did you rest well? How is the pain today?,0
Good evening. Have you eaten your dinner yet?,0
I am calling just to say hello. How are you today?,0
My knee is paining a lot since yesterday morning.,0
I need to take my blood pressure tablet now.,0
Doctor appointment is tomorrow at 10 AM at the clinic.,0
My sugar levels were a bit high in today's test.,0
I had headache since morning but it is better now.,0
Need to refill my diabetes medicines this week.,0
My back pain is troubling me when I sit for long.,0
The doctor said to reduce salt in my food.,0
I have to go for my eye checkup next Monday.,0
My arthritis is acting up due to the cold weather.,0
I forgot to take my evening tablet. Taking it now.,0
Blood pressure reading was 140 over 90 today.,0
The physiotherapy is helping my shoulder pain slowly.,0
Doctor suggested walking 30 minutes every morning.,0
I need to buy my thyroid medicine today from pharmacy.,0
My cholesterol report came today. Doctor is satisfied.,0
Feeling a little breathless when climbing stairs lately.,0
The new vitamin tablets doctor gave are helping me.,0
My hearing aid battery needs to be replaced today.,0
I have a slight fever since last night. Feeling weak.,0
Went for blood test this morning. Results by evening.,0
Doctor advised to drink at least 8 glasses of water.,0
My knee replacement surgery is scheduled for next month.,0
The hospital gave me new medicines for the joint pain.,0
Going for physiotherapy session on Tuesday and Friday.,0
Dentist appointment is fixed for next Thursday morning.,0
My BP was normal today. Feeling happy about that.,0
Need to ask doctor about the dizziness I feel sometimes.,0
The cough has been there for 5 days. Going to doctor.,0
Skin doctor gave ointment for the itching on my hand.,0
Karthik called in the morning. He is doing well in Bangalore.,0
Priya is visiting us this Sunday with the children.,0
Arjun got first rank in his class. So proud of him.,0
My daughter called from the US. She is doing fine.,0
Son said he will visit during Pongal holidays.,0
Granddaughter Meera started her new school today.,0
Brother called from Chennai after a long time.,0
My son in law got a promotion in his company.,0
Nephew Rajan got married last month. Nice wedding.,0
Daughter-in-law cooked sambar just like I taught her.,0
Grandchildren visited yesterday. House was so lively.,0
My brother is coming from Coimbatore next week.,0
Karthik's baby turned one year old last Sunday.,0
Priya's son is learning to walk now. So cute he is.,0
Sister called to wish for our wedding anniversary.,0
Granddaughter is learning Bharatanatyam this year.,0
Son built a new house in Chennai. Planning to visit.,0
My niece Kavya passed her NEET exam. Very proud of her.,0
Daughter said she will video call on Sunday evening.,0
Grandson Arjun is very good at cricket these days.,0
My son called from Hyderabad. He sounded very happy.,0
Daughter in law is expecting a baby. Very excited.,0
My grandson got admission in IIT. God has been kind.,0
Cousin sister visited after 10 years. Very happy meeting.,0
My son's company shifted to a new big office this week.,0
Granddaughter won a prize in her school drawing contest.,0
Son sent mangoes from Bangalore. Very sweet and tasty.,0
Brother's son is getting married in March next year.,0
My daughter sent saree for my birthday. Very beautiful.,0
All cousins gathered for uncle's 80th birthday. Joyful.,0
I woke up at 5 AM and went for my morning walk.,0
Had filter coffee and two idlis for breakfast today.,0
Watched the morning serial after breakfast today.,0
Going to the temple in the evening with neighbour.,0
Cooking sambar and rasam for lunch today at home.,0
Bought a new prayer book from the religious shop nearby.,0
Changed the bedsheet and pillowcovers this morning.,0
Stitching a blouse for the festival season coming up.,0
Gave old clothes to the charity box near the temple.,0
Community meeting at the apartment today evening.,0
Watched a nice Tamil movie on television last night.,0
Radio program had old Ilayaraja songs this morning.,0
Read the Bhagavad Gita chapter 2 this morning slowly.,0
Cooked puliyodarai for the temple prasad this week.,0
Made turmeric milk before sleeping. Good for health.,0
The chikoo tree in the garden gave fruits this week.,0
Visiting sister in Salem this coming weekend by bus.,0
Grandson's school sports day is on Friday. Will attend.,0
Going to the senior citizen club meeting this Thursday.,0
Yoga class at the community centre starts next Monday.,0
Taking my neighbour to the hospital tomorrow morning.,0
Meeting my childhood friends for lunch this Saturday.,0
Son is coming from Hyderabad for the long weekend.,0
Planning to clean the puja room thoroughly this weekend.,0
Went to the Ganesha temple this morning. Felt peaceful.,0
The grandchildren drew pictures for me. Very sweet.,0
Had a good chat with the neighbour aunty this evening.,0
The jasmine plant is blooming. The flowers smell so good.,0
Finished reading the novel I started last month today.,0
The electricity went off for 2 hours in the afternoon.,0
Had nice oil bath this morning. Feeling very fresh now.,0
Going to the community hall for bhajan this evening.,0
I need to take my medicine. Can you remind me at 8 PM?,0
Can you tell me how to apply for a senior citizen card?,0
My son's birthday is coming. I need some gift ideas.,0
Can you help me write a letter to my grandson in school?,0
I want to know the cricket score. Who is winning today?,0
Help me understand what this blood pressure medicine is for.,0
Remind me to call my daughter at 6 PM today evening.,0
I am bored today. Tell me an interesting Tamil story.,0
Can you suggest some light exercises for senior citizens?,0
What is a good recipe for diabetic friendly evening snacks?,0
Tell me about the Ramayana story. I love that story so much.,0
What should I eat when I have high blood pressure?,0
The new pressure cooker is working very well now at home.,0
Made turmeric and ginger tea this morning for immunity.,0
The mango tree in the garden has so many new leaves.,0
My old friend Rajan visited after so many years today.,0
Feeling much better today after taking rest for two days.,0
My younger brother is visiting from Trichy this weekend.,0
Cooked bisibelebath today. Family loved it so very much.,0
So peaceful sitting by the window and watching the rain.,0
Finished the sweater I was knitting for two months now.,0
The doctor said all my health reports are normal today.,0
Feeling very happy seeing my granddaughter dance today.,0
The grandchildren came running to me when I arrived home.,0
Reading the Ramayana storybook in the afternoon today.,0
Enjoying the cool breeze in the evening on the terrace.,0
Had a long and very good conversation with son this evening.,0
The park had so many beautiful flowers blooming today.,0
Called my old colleague Meenakshi after many years today.,0
Made idli and coconut chutney for everyone this morning.,0
Feeling very grateful for good health and loving family.,0
The pooja room flowers look so very beautiful this morning.,0
Spent the afternoon sorting and reading old letters.,0
Had a long nap after lunch. Feeling refreshed and good.,0
Spent time this evening singing old devotional songs.,0
Neighbour invited me for their grandson's naming ceremony.,0
Son video called from Canada today. He looks healthy.,0
Arranged the puja items neatly for tomorrow's festival.,0
My son won Rs. 2 lakh prize in his company annual lottery. Very happy.,0
Karthik's lottery ticket won a small prize of Rs. 500 last week.,0
I need to claim my LIC maturity amount at the branch next week.,0
Son received an OTP on my phone for his UPI transfer to me.,0
My Jio connection was disconnected yesterday. Karthik paid and restored it.,0
The electricity board disconnected power for 2 hours for maintenance work today.,0
I need to verify my Aadhaar details at the government office with son.,0
Son asked me to share the OTP he sent to my phone for his transaction.,0
My bank account was blocked temporarily. Visited branch and it is resolved now.,0
The hospital sent a message saying my appointment is confirmed for tomorrow.,0
Karthik said my KYC needs to be updated at SBI branch before month end.,0
Went to bank to update my account details. Staff were very helpful today.,0
Son said to call the LIC office to check on my policy maturity amount.,0
My pension account was frozen last month due to verification. Now resolved.,0
The government health scheme benefit of Rs. 2000 came to my account today.,0
Son transferred Rs. 5000 to my account immediately when I said I needed medicine.,0
I need to update my mobile number linked to my bank account at the branch.,0
The electricity bill was very high this month. Need to call and verify the amount.,0
Son helped me verify my Aadhaar details online at the government portal today.,0
My LIC agent called to remind me about my premium due. Going to pay tomorrow.,0
I need to share my account number with daughter so she can send money for medicine.,0
The hospital called to say my free senior citizen checkup is ready to be claimed.,0
Son said my broadband will be disconnected if I do not pay the bill by Friday.,0
Went to the ration office to link my Aadhaar. Got it done with son's help today.,0
My fixed deposit is maturing next month. Need to call bank to renew or withdraw.,0
Son told me my gas connection registration needs to be updated with new address.,0
I got an OTP on my phone while son was making an online payment on my behalf.,0
My neighbour's son called immediately when she fell down. Such a good family.,0
The post office sent a message that my money order is ready to be claimed.,0
Need to call the electricity board office and verify the disconnection notice I got.,0
Bank manager asked me to visit branch with Aadhaar and passbook tomorrow.,0
My son told me not to share OTP with anyone even if they say they are from bank.,0
I received a bank alert and went directly to the SBI branch to check.,0
The electricity board notice said maintenance work will happen tonight in our area.,0
My LIC policy maturity amount will be credited after I submit documents at office.,0
"I got a message about KYC update, so I asked my daughter to come with me to the branch.",0
The hospital asked me to bring Aadhaar card for my free senior citizen checkup.,0
My grandson won a school lucky draw and got a small gift hamper.,0
The bank sent OTP for adding my nominee when I was at the branch.,0
Power supply may be cut for two hours because of transformer repair work.,0
"Please do not panic Amma, we will verify the bank message together at the branch.",0
My gas connection renewal form needs Aadhaar copy and address proof this week.,0
The post office asked me to collect the maturity payment in person with ID proof.,0
I called customer care using the number on the official card and confirmed it was safe.,0
My son said never send money or OTP to strangers who talk urgently.,0
The nurse said my insurance claim needs one signature at the hospital desk.,0
I must take Aadhaar copy and pension book to the office for verification.,0
Our apartment association sent a power cut notice for line repair tomorrow.,0
My daughter reminded me to renew gas connection papers before month end.,0
Bank staff helped me update nominee details after checking my OTP in person.,0
The clerk asked me to pay the real electricity bill at the counter today.,0
I got a lucky draw coupon at the temple function and won a steel plate.,0
The doctor office sent a message about free eye camp registration this Sunday.,0
My son asked me to wait and verify the message with him before doing anything.,0
LIC office called from the number on my policy paper and gave my appointment time.,0
I saw a warning video about OTP scams and bank fraud on television today.,0
We discussed lottery scams in the senior citizen meeting this evening.,0
My daughter told me never to install any app for bank verification.,0
The branch officer asked me to sign the KYC form after checking my ID card.,0
I need to bring old policy papers to claim the insurance amount legally.,0
My son paid the electricity bill online and showed me the official receipt.,0
The maintenance office said the lift power will be cut for one hour.,0
I went to the government office to link Aadhaar and got a token number.,0
The pharmacist said my medicine discount is available at the hospital counter only.,0
My neighbour warned me about fake callers asking for pension OTP.,0
The bank security workshop said no officer will ask for ATM PIN or OTP.,0
I will visit LIC branch with my son instead of calling unknown numbers.,0
My niece won a contest at college and received the prize on stage.,0
"The telephone bill reminder was genuine, so I paid through the official app.",0
The EB office message said planned shutdown from 2 PM to 4 PM tomorrow.,0
I asked the bank clerk to verify whether the account freeze message was real.,0
My son collected the parcel directly from customs office after showing papers.,0
The doctor asked me to register for the free camp at the hospital desk.,0
The gas agency told me to update address proof at their office next week.,0
We checked the message carefully and found it was only a routine service notice.,0
